CellID,Max,MCH01,MCH02,MCH03,MCH04,MCH05,MCH06,MCH07,MCH08,MCH09,MCH10
160116_01_D7,1.149,1.000,0.675,0.263,0.097,0.037,0.055,-0.247,0.015,0.068,0.074
160116_02_D7,2.020,1.000,0.227,0.309,0.039,0.162,0.143,0.033,0.091,0.156,0.232
160116_03_D7,1.005,1.000,0.741,0.160,0.248,0.277,0.191,-0.066,0.100,0.278,0.266
160116_04_D7,1.022,1.000,0.287,0.112,-0.088,-0.208,-0.123,-0.203,-0.170,-0.390,-0.207
160116_05_D7,1.441,1.000,0.511,0.564,0.274,0.169,0.129,0.047,-0.052,-0.010,0.042
160116_06_D7,2.107,1.000,0.219,0.074,0.028,0.035,0.004,0.079,-0.021,-0.047,0.095
160116_07_D7,1.235,1.000,0.527,0.157,-0.028,0.118,-0.336,-0.107,-0.217,-0.151,-0.077
160213_07_D7,0.160,1.000,0.390,0.498,-0.883,-1.685,-0.756,-1.434,-2.468,0.238,-1.017
160213_08_D7,1.032,1.000,0.330,-0.042,0.124,-0.104,-0.167,0.082,0.502,0.220,-0.061
160121_01_D7,1.397,1.000,0.336,0.174,0.205,0.086,-0.029,0.102,-0.201,-0.029,0.029
160121_02_D7_ROI1,1.318,1.000,0.382,0.232,-0.036,0.156,-0.108,-0.022,-0.094,-0.211,-0.057
160121_02_D7_ROI2,1.603,1.000,0.272,0.128,0.011,-0.028,0.073,0.000,-0.115,-0.095,-0.055
160121_03_D7,1.464,1.000,0.537,0.070,0.055,-0.164,0.031,-0.174,-0.045,-0.003,0.247
160121_04_D7,2.877,1.000,0.302,0.198,0.105,0.019,0.015,0.014,-0.036,-0.071,-0.054
160121_05_D7,0.491,1.000,-0.268,0.155,-0.448,-0.340,-0.039,-0.117,-0.404,-0.599,-0.297
160121_06_D7,0.586,1.000,-0.058,-0.311,-0.333,-0.244,-0.321,-0.340,-0.155,-0.071,-0.504
160509_02_D7,1.613,1.000,0.670,0.363,0.147,0.027,0.106,0.116,0.187,0.123,0.165
160509_03_D7_ROI1,0.631,1.000,0.299,0.385,0.397,-0.106,0.207,-0.021,0.150,-0.078,-0.157
160509_03_D7_ROI2,0.566,1.000,0.461,0.801,0.193,0.293,0.001,0.024,0.092,0.190,0.062
160509_04_D7,1.365,1.000,0.098,-0.041,-0.030,-0.025,0.040,-0.160,-0.016,-0.114,-0.103
160513_01_D7,1.117,1.000,0.832,0.110,0.045,-0.085,0.027,0.014,-0.006,-0.005,-0.068
160513_02_D7,1.093,1.000,0.578,0.674,0.400,0.092,0.418,-0.023,0.346,0.463,0.266
160513_03_D7_ROI1,0.874,1.000,0.350,0.164,0.153,0.172,-0.033,0.021,0.163,-0.243,0.101
